,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.22904E+14,D-11-23 13AAA,,352,4060,12/11/2014,STANDARD,450,16,IRRIGATION,12/1/1963,32.485278,109.945306
FALSE,3.22907E+14,D-11-23 14ABA,615803,340.2,4041.8,1/13/2021,STANDARD,526,,UNUSED,,32.485305,109.96511
FALSE,3.22956E+14,D-11-23 12BAA,605882,224,4214,3/31/1964,STANDARD,500,16,IRRIGATION,3/31/1964,32.499722,109.952222
FALSE,3.22956E+14,D-11-23 10BBA1,613596,330.7,4055.31,1/12/2021,STANDARD,503,16,UNUSED,1/17/1965,32.499713,109.99224
FALSE,3.22957E+14,D-11-23 11AAA,619391,325.9,4092.1,11/29/2005,STANDARD,475,16,IRRIGATION,4/17/1964,32.499611,109.961472
FALSE,3.22958E+14,D-11-23 11BAA2,536472,,,,STANDARD,815,16,IRRIGATION,11/14/1992,32.499526,109.970169
FALSE,3.22959E+14,D-11-24 07ABA,605415,315,4170,4/2/1973,STANDARD,700,16,IRRIGATION,4/2/1973,32.499722,109.931389
FALSE,3.22959E+14,D-11-23 10BBA2,209876,310.1,4081.9,12/11/2014,STANDARD,850,16,IRRIGATION,8/21/2006,32.499637,109.992553
FALSE,3.23024E+14,D-11-23 04DAA,605575,293.5,4105.5,12/14/2005,STANDARD,504,16,IRRIGATION,1/16/1965,32.506972,109.996306
FALSE,3.23038E+14,D-11-23 06BDB,628369,285.5,4096.5,12/3/2014,STANDARD,500,10,DOMESTIC,,32.510778,110.040611
FALSE,3.23043E+14,D-11-23 01BAC,,226.73,4230.27,9/18/1951,STANDARD,,6,UNDETERMINED,,32.511944,109.944444
FALSE,3.23043E+14,D-11-21 01BBD,626858,58.1,4594.9,1/7/2015,STANDARD,70,6,STOCK,,32.511861,110.163528
FALSE,3.23052E+14,D-10-21 35DDD1,646250,30.2,4627.8,1/7/2015,STANDARD,100,8,UNUSED,,32.514639,110.161333
FALSE,3.23052E+14,D-10-21 35DDD2,646251,,,,STANDARD,125,8,DOMESTIC,,32.514444,110.161667
FALSE,3.23228E+14,D-10-21 29ABA,,,,,STANDARD,,8,DOMESTIC,,32.541111,110.221111
FALSE,3.23233E+14,D-10-21 25BAD,647955,,,,STANDARD,25,48,UNUSED,,32.5425,110.153611
FALSE,3.23318E+14,D-10-22 20ABC,,9.4,4509.6,11/30/1994,STANDARD,,36,UNUSED,,32.555444,110.1185
FALSE,3.23326E+14,D-10-22 20AAA,,,,,STANDARD,,36,UNUSED,,32.557222,110.110556
FALSE,3.23333E+14,D-10-21 15CCC1,,,,,STANDARD,,6,UNUSED,,32.559167,110.195278
FALSE,3.23516E+14,D-10-23 02CDC,627754,73.1,4465.9,3/25/1957,STANDARD,210,12,STOCK,1/1/1948,32.587778,109.968333
FALSE,3.23523E+14,D-10-23 02DDB,,40,4511,3/24/1949,STANDARD,440,16,UNUSED,,32.589722,109.959167
FALSE,3.23538E+14,D-10-23 02CAA,805356,60.4,4482.6,3/15/2006,STANDARD,87,16,OBSERVATION,,32.592917,109.965806
FALSE,3.23719E+14,D-09-23 27DBA,,129.7,4523.3,1/16/1990,STANDARD,,6,UNUSED,,32.621944,109.978333
FALSE,3.13523E+14,D-21-28 21ADC,589794,,,,STANDARD,40,2,UNUSED,1/1/2002,31.589722,109.491917
FALSE,3.13532E+14,D-21-28 21BCB2,203420,5.2,4639.8,11/16/2020,STANDARD,25,2.4,UNUSED,5/19/2004,31.592111,109.504972
FALSE,3.13836E+14,D-20-28 36DCC,611845,25,5095,3/9/1977,STANDARD,346,8,DOMESTIC,7/2/1948,31.6425,109.4375
FALSE,3.13925E+14,D-20-28 26CCB,611842,7.86,4932.14,1/7/2015,STANDARD,30,48,STOCK,,31.65775,109.461611
FALSE,3.14017E+14,D-20-29 20CDB,,16.4,5348.6,12/8/1999,STANDARD,,6,DOMESTIC,,31.671389,109.405556
FALSE,3.1403E+14,D-20-28 21CAD2,805886,9.51,5175.49,1/8/2015,STANDARD,30,60,STOCK,,31.67425,109.488
