,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.54033E+14,B-26-18 03AAA2,,,,,STANDARD,665,6,DOMESTIC,10/1/1977,35.675833,114.185833
FALSE,3.54346E+14,B-27-15 15ADB,,,,,STANDARD,,,STOCK,,35.729444,113.8675
FALSE,3.54638E+14,B-28-16 35BBA,,,,,STANDARD,,,STOCK,,35.777222,113.968889
FALSE,3.60002E+14,B-30-18 09CBA,629127,25,1395,9/1/1973,STANDARD,94,,UNUSED,,36.000556,114.225
FALSE,3.51151E+14,B-21-16 14CDD,631357,481.7,3298.3,1/7/1991,STANDARD,690,8,UNUSED,,35.195806,113.949417
FALSE,3.51439E+14,B-22-16 34CBC,612664,744.4,2657.2,6/13/2006,STANDARD,1000,16,PUBLIC SUPPLY,4/5/1978,35.242917,113.974944
FALSE,3.51751E+14,B-22-17 14BCB2,919659,,,,STANDARD,553,8.63,DOMESTIC,7/6/2016,35.297528,114.074667
FALSE,3.5231E+14,B-23-15 09CCC,918686,429.1,2715.9,3/1/2018,STANDARD,,,UNUSED,,35.386,113.884917
FALSE,3.52314E+14,B-23-14 09CDA,916962,44.8,3855.2,2/27/2018,STANDARD,168,7,STOCK,5/28/2014,35.387167,113.772917
FALSE,3.52731E+14,B-24-15 13DCC,545061,723,2524,2/28/2018,STANDARD,900,7,DOMESTIC,9/23/1994,35.458417,113.824667
FALSE,3.5295E+14,B-24-15 01BBD,551149,,,,STANDARD,417,7,UNUSED,,35.497222,113.83
FALSE,3.51438E+14,B-21-17 01BAA,210361,265.8,3274.2,2/5/2018,STANDARD,365,7,DOMESTIC,2/28/2006,35.24375,114.049417
FALSE,3.51705E+14,B-22-16 17DDD1,529815,612.2,2736.8,1/12/2006,STANDARD,1200,8.62,OBSERVATION,2/6/1995,35.283861,113.9945
FALSE,3.51758E+14,B-22-15 12DDA2,,76.8,3973.2,2/6/2018,STANDARD,,,STOCK,,35.299777,113.816413
FALSE,3.51934E+14,B-22-17 01ADA,625002,241.9,3448.1,3/20/2023,STANDARD,480,8,UNUSED,9/15/1978,35.325473,114.040199
FALSE,3.52215E+14,B-23-14 13CCC1,651079,71.15,3493.85,2/12/1953,STANDARD,80,48,UNUSED,,35.370918,113.726135
FALSE,3.52216E+14,B-23-14 13CCB2,627256,50.94,3499.06,11/11/1943,STANDARD,89,16,UNUSED,1/1/1922,35.371111,113.722222
FALSE,3.52357E+14,B-23-17 11BDA,,,,,STANDARD,,,UNUSED,,35.399167,114.066111
FALSE,3.52554E+14,B-24-15 28CCA,596990,,,,STANDARD,620,7,UNUSED,1/5/2004,35.431639,113.883139
FALSE,3.52611E+14,B-24-14 29ACB,,580.5,2744.5,2/27/2018,STANDARD,949,3,UNUSED,3/1/1944,35.437611,113.789
FALSE,3.53029E+14,B-25-16 33CAA,913786,386.9,2491.1,2/7/2018,STANDARD,,8.63,UNUSED,11/14/2011,35.508083,113.998361
FALSE,3.53614E+14,B-26-17 34BBB,916655,369,2481,3/30/2023,STANDARD,760,24,UNUSED,12/6/2014,35.604,114.096056
